URL,Category,Mobile_Performance_Score,Mobile_FCP,Mobile_LCP,Mobile_SI,Mobile_TTI,Mobile_TBT,Mobile_CLS,Desktop_Performance_Score,Desktop_FCP,Desktop_LCP,Desktop_SI,Desktop_TTI,Desktop_TBT,Desktop_CLS
http://sortlist.com/,HomePage,73,2175,3211,2632,19631,726,0,69,588,1584,772,4806,688,0
http://www.sortlist.com/,HomePage,37,6029,17582,8302,19051,863,0,68,518,1460,825,4866,826,0
https://sortlist.com/,HomePage,39,2346,8662,5149,19677,1174,0,64,659,1642,1060,5093,1042,0
https://www.sortlist.com/,HomePage,41,1563,7545,5179,19243,1272,0,72,409,1162,691,4641,693,0
https://www.sortlist.com/s/python-development/miami-fl-us,Landing,87,1539,2101,4257,7731,395,0,84,390,561,718,1983,378,0
https://www.sortlist.com/s/brand-design/berlin-de,Landing,74,1535,2101,5585,7756,823,0,70,390,521,1838,2769,786,0
https://www.sortlist.com/s/banner-advertising/brussels-brussels-be,Landing,69,1683,2776,4534,7941,1107,0,69,396,561,1612,2606,997,0
https://www.sortlist.com/i/s/facebook-advertising/germany-de,Landing,70,1677,2251,7931,10180,839,0,63,406,521,3168,3104,1314,0
https://www.sortlist.com/s/net-development/san-diego-ca-us,Landing,73,1630,2101,3592,8049,1222,0,73,434,524,1291,2464,736,0
https://www.sortlist.com/s/augmented-reality/belgium-be,Landing,70,1689,2101,4825,8428,1356,0,85,429,581,786,2327,355,0
https://www.sortlist.com/s/chatgpt-consulting/stuttgart-de,Landing,78,1528,2327,4499,8660,709,0,71,424,581,710,3063,1291,0
https://www.sortlist.com/s/public-relations/fort-worth-tx-us,Landing,73,1538,2626,4690,7987,852,0,75,394,561,1708,2098,554,0
https://www.sortlist.com/de/voice-over,Landing,81,1682,2253,3877,8472,608,0,70,395,522,1649,2622,888,0
https://www.sortlist.com/s/product-design/geneva-ch,Landing,92,1367,2101,4262,7831,230,0,89,342,600,1637,1674,230,0
https://www.sortlist.com/s/traffic-acquisition/germany-de,Landing,76,1843,2401,5986,8710,589,0,71,432,501,1659,2786,781,0
https://www.sortlist.com/s/crm-app-development/colorado-co-us,Landing,78,1544,2101,4369,8080,739,0,67,449,1491,1335,2353,873,0
https://www.sortlist.com/s/javascript-development/illinois-il-us,Landing,76,1687,2251,4583,8443,806,0,71,388,521,1504,2462,880,0
https://www.sortlist.com/s/mongodb-development/abu-dhabi-ae,Landing,93,1395,2101,3283,7086,240,0,85,366,607,741,1773,336,0
https://www.sortlist.com/s/angular-development/egypt-eg,Landing,82,1589,3197,4518,7918,320,0,71,392,521,1524,2569,825,0
https://www.sortlist.com/copywriting/cairo-giza-governorate-eg,Landing,76,1583,2101,3619,8060,949,0,74,407,481,741,2225,756,0
https://www.sortlist.com/s/international-marketing/chicago-il-us,Landing,75,1696,2251,4111,8206,881,0,75,433,521,646,2248,641,0
